phase,priority,category,affected_pages,evidence,expected_benefit,confidence,difficulty,recommended_action,status
baseline,P3,metadata,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,1 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/honoring-jesse-petersen-with-the-revival-of-stealth-login-page/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/honoring-jesse-petersen-with-the-revival-of-stealth-login-page/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/host-your-wordpress-plugins-on-github-and-automate-plugin-packaging/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/host-your-wordpress-plugins-on-github-and-automate-plugin-packaging/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-a-security-audit-can-save-your-e-commerce-store-from-disaster/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-a-security-audit-can-save-your-e-commerce-store-from-disaster/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/how-a-security-audit-can-save-your-e-commerce-store-from-disaster/,3 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-hungry-are-you/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-hungry-are-you/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-i-use-textexpander-to-reuse-my-best-ai-prompts/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-i-use-textexpander-to-reuse-my-best-ai-prompts/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-block-website-tracking-data-in-woocommerce/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-block-website-tracking-data-in-woocommerce/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-build-a-content-engine-that-scales-with-you/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-build-a-content-engine-that-scales-with-you/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-build-modular-prompts-that-save-you-hours-per-week/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-build-modular-prompts-that-save-you-hours-per-week/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-customize-the-style-of-your-wordpress-login-screen/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-customize-the-style-of-your-wordpress-login-screen/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-edit-ai-content-so-it-feels-clean-not-robotic/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-edit-ai-content-so-it-feels-clean-not-robotic/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-stop-your-plugins-themes-from-being-used-on-wordpress-com-hosting/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-stop-your-plugins-themes-from-being-used-on-wordpress-com-hosting/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/how-to-stop-your-plugins-themes-from-being-used-on-wordpress-com-hosting/,1 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-teach-ai-to-match-your-voice/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-teach-ai-to-match-your-voice/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-use-ai-to-research-validate-ideas-and-stay-relevant/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-use-ai-to-research-validate-ideas-and-stay-relevant/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-write-prompts-that-get-the-tone-structure-and-intent-right/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/how-to-write-prompts-that-get-the-tone-structure-and-intent-right/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/hue-js/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/hue-js/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/i-built-a-python-stego-cipher-tool-and-you-can-have-it/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/i-built-a-python-stego-cipher-tool-and-you-can-have-it/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/i-just-launched-a-python-course-for-php-developers/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/i-just-launched-a-python-course-for-php-developers/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/im-freelancing-again/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/im-freelancing-again/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/im-freelancing-again/,8 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/improve-cls-scores-by-dynamically-setting-image-width-and-height/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/improve-cls-scores-by-dynamically-setting-image-width-and-height/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/intellipress-the-smart-af-ai-assistant-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/intellipress-the-smart-af-ai-assistant-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/intellipress-the-smart-af-ai-assistant-for-wordpress/,2 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-an-experimental-new-plugin-email-designer-for-woocommerce/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-an-experimental-new-plugin-email-designer-for-woocommerce/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-associated-taxonomies-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-associated-taxonomies-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-automattic-css-an-open-source-css-utility-framework/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-automattic-css-an-open-source-css-utility-framework/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-back-in-stock-notifications-for-woocommerce/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-back-in-stock-notifications-for-woocommerce/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/introducing-back-in-stock-notifications-for-woocommerce/,1 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-barcodes-for-woocommerce-free/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-barcodes-for-woocommerce-free/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-benchpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-benchpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/introducing-benchpress/,1 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-block-ai-crawlers-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-block-ai-crawlers-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-bluesky-feed-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-bluesky-feed-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-brands-for-woocommerce-free/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-brands-for-woocommerce-free/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-broken-image-scanner/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-broken-image-scanner/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-bulk-stock-management-for-woocommerce-free/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-bulk-stock-management-for-woocommerce-free/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-content-restriction-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-content-restriction-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-delete-inactive-users/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-delete-inactive-users/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-digg-this-a-social-sharing-plugin-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-digg-this-a-social-sharing-plugin-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-dispensary-details-for-woocommerce/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-dispensary-details-for-woocommerce/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/introducing-dispensary-details-for-woocommerce/,4 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-gallery-modals-enhance-your-wordpress-galleries-with-stunning-popups/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-gallery-modals-enhance-your-wordpress-galleries-with-stunning-popups/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/introducing-gallery-modals-enhance-your-wordpress-galleries-with-stunning-popups/,1 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-gift-cards-for-woocommerce-free/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-gift-cards-for-woocommerce-free/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-hpos-compatibility-scanner-for-woocommerce-free/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-hpos-compatibility-scanner-for-woocommerce-free/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-img-a11y/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-img-a11y/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-intellipress-the-smart-ai-assistant-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-intellipress-the-smart-ai-assistant-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-maintenance-mode-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-maintenance-mode-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-markdown-comments-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-markdown-comments-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/introducing-markdown-comments-for-wordpress/,2 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-markdown-exporter-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-markdown-exporter-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-media-copyright-scanner/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-media-copyright-scanner/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-media-file-versioning-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-media-file-versioning-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-metadata-import-export-for-yoast-seo/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-metadata-import-export-for-yoast-seo/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-module-usage-tracker-for-wp-bakery/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-module-usage-tracker-for-wp-bakery/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-pattern-pal-ai-powered-patterns-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-pattern-pal-ai-powered-patterns-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-persistent-dismissible-notices/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-persistent-dismissible-notices/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-projects-for-wordpress-a-better-way-to-showcase-your-work/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-projects-for-wordpress-a-better-way-to-showcase-your-work/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/introducing-projects-for-wordpress-a-better-way-to-showcase-your-work/,4 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-purchase-orders-for-woocommerce-free/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-purchase-orders-for-woocommerce-free/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-seo-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-seo-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-shipping-multiple-addresses-for-woocommerce-free/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-shipping-multiple-addresses-for-woocommerce-free/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-site-vitals-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-site-vitals-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-slop-stopper-a-free-content-checker-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-slop-stopper-a-free-content-checker-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/introducing-slop-stopper-a-free-content-checker-for-wordpress/,3 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-stats-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-stats-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-table-block-enhancer-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-table-block-enhancer-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-test-orders-for-woocommerce/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-test-orders-for-woocommerce/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-the-phlush-permalinks-wordpress-plugin/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-the-phlush-permalinks-wordpress-plugin/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-the-prompts-library-a-playground-for-ai-creativity/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-the-prompts-library-a-playground-for-ai-creativity/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-the-user-login-status-plugin-for-wordpress/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-the-user-login-status-plugin-for-wordpress/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P2,crawlability,https://robertdevore.com/introducing-the-user-login-status-plugin-for-wordpress/,1 broken internal links,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-vertical-gallery-product-display-for-woocommerce/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-vertical-gallery-product-display-for-woocommerce/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-widget-usage-tracker-for-elementor/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/introducing-widget-usage-tracker-for-elementor/,large Twitter card has no image,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
baseline,P3,metadata,https://robertdevore.com/invest-in-yourself/,legacy meta keywords present,"clearer discovery, interpretation, or result presentation",high,low to medium,resolve using factual page-specific or systemic markup,open
