phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
baseline,https://robertdevore.com/introducing-broken-image-scanner/,Introducing Broken Image Scanner,Introducing Broken Image Scanner,commercial investigation / product discovery,introducing broken image scanner,What Does the Plugin Do?; Why Is This Useful?; How to Use the Plugin; What’s Under the Hood?,Who Should Use This Plugin?; Why I Built This Plugin; Related Reading,What is Introducing Broken Image Scanner?; How does Introducing Broken Image Scanner work?; Who is Introducing Broken Image Scanner for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-bulk-stock-management-for-woocommerce-free/,Introducing Bulk Stock Management for WooCommerce® (free),Introducing Bulk Stock Management for WooCommerce® (free),commercial investigation / product discovery,introducing bulk stock management for woocommerce® (free),Why I Built This Plugin; Key Features; ⚡ Bulk Stock Management; 📊 Stock Reporting,🛠️ AJAX-Powered Interface; 🔍 Out-of-Stock Insights; 🎛️ Customizable Settings; How to Get Started,What is Introducing Bulk Stock Management for WooCommerce® (free)?; How does Introducing Bulk Stock Management for WooCommerce® (free) work?; Who is Introducing Bulk Stock Management for WooCommerce® (free) for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-content-restriction-for-wordpress/,Introducing Content Restriction for WordPress®,Introducing Content Restriction for WordPress®,commercial investigation / product discovery,introducing content restriction for wordpress®,Key Features; How to Use Content Restriction for WordPress®; 1. Setting Up Global Restrictions; 2. Applying Individual Restrictions,Filters and Developer Customization; Installation and Getting Started; FAQs; Future plans,What is Introducing Content Restriction for WordPress®?; How does Introducing Content Restriction for WordPress® work?; Who is Introducing Content Restriction for WordPress® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-delete-inactive-users/,Introducing Delete Inactive Users,Introducing Delete Inactive Users,commercial investigation / product discovery,introducing delete inactive users,Why I Built This Plugin; What Does Delete Inactive Users Do?; Key Features at a Glance; How It Works,Who Is This Plugin For?; Get Started Today; Feedback and Contributions; Related Reading,What is Introducing Delete Inactive Users?; How does Introducing Delete Inactive Users work?; Who is Introducing Delete Inactive Users for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-digg-this-a-social-sharing-plugin-for-wordpress/,Introducing Digg This: A social sharing plugin for WordPress®,Introducing Digg This: A social sharing plugin for WordPress®,commercial investigation / product discovery,introducing digg this: a social sharing plugin for wordpress®,What Makes Digg This Different?; Why I Built This; Features That Matter; Who Should Use It?,Get It Now; Related Reading,What is Introducing Digg This: A social sharing plugin for WordPress®?; How does Introducing Digg This: A social sharing plugin for WordPress® work?; Who is Introducing Digg This: A social sharing plugin for WordPress® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-dispensary-details-for-woocommerce/,Introducing Dispensary Details for WooCommerce®,Introducing Dispensary Details for WooCommerce®,commercial investigation / product discovery,introducing dispensary details for woocommerce®,Why Dispensary Details for WooCommerce® Matters; Product-Specific Enhancements; Custom WooCommerce Settings; Why Open Source Matters for the Cannabis Industry,Download It for Free; Related Reading,What is Introducing Dispensary Details for WooCommerce®?; How does Introducing Dispensary Details for WooCommerce® work?; Who is Introducing Dispensary Details for WooCommerce® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-gallery-modals-enhance-your-wordpress-galleries-with-stunning-popups/,Introducing Gallery Modals: Enhance Your WordPress® Galleries with Stunning Popups!,Introducing Gallery Modals: Enhance Your WordPress® Galleries with Stunning Popups!,commercial investigation / product discovery,introducing gallery modals: enhance your wordpress® galleries with stunning popups!,Elevate Your Gallery Experience; Key Features:; Why Gallery Modals?; Get Started Quickly,Customization at Your Fingertips; Looking Ahead; Related Reading,What is Introducing Gallery Modals: Enhance Your WordPress® Galleries with Stunning Popups!?; How does Introducing Gallery Modals: Enhance Your WordPress® Galleries with Stunning Popups! work?; Who is Introducing Gallery Modals: Enhance Your WordPress® Galleries with Stunning Popups! for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-gift-cards-for-woocommerce-free/,Introducing Gift Cards for WooCommerce® (free),Introducing Gift Cards for WooCommerce® (free),commercial investigation / product discovery,introducing gift cards for woocommerce® (free),Key Features; 1. Admin Management Dashboard; 2. Bulk Import and Export; 3. Product Integration,4. Customer Experience Enhancements; 5. Automated Email Notifications; Installation; 1. Download the Plugin,What is Introducing Gift Cards for WooCommerce® (free)?; How does Introducing Gift Cards for WooCommerce® (free) work?; Who is Introducing Gift Cards for WooCommerce® (free) for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-hpos-compatibility-scanner-for-woocommerce-free/,Introducing HPOS Compatibility Scanner for WooCommerce® (free),Introducing HPOS Compatibility Scanner for WooCommerce® (free),commercial investigation / product discovery,introducing hpos compatibility scanner for woocommerce® (free),Why This Plugin?; What Does HPOS Compatibility Scanner Do?; Why Should WooCommerce® Have Built This?; How to Use HPOS Compatibility Scanner,What’s Next?; Get Involved; Related Reading,What is Introducing HPOS Compatibility Scanner for WooCommerce® (free)?; How does Introducing HPOS Compatibility Scanner for WooCommerce® (free) work?; Who is Introducing HPOS Compatibility Scanner for WooCommerce® (free) for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-img-a11y/,Introducing IMG A11Y,Introducing IMG A11Y,commercial investigation / product discovery,introducing img a11y,Key Features; Why I Built IMG A11Y; How to Get Started; What’s Next for IMG A11Y,Try IMG A11Y Today; Related Reading,What is Introducing IMG A11Y?; How does Introducing IMG A11Y work?; Who is Introducing IMG A11Y for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-intellipress-the-smart-ai-assistant-for-wordpress/,Introducing IntelliPress: The Smart Ai Assistant for WordPress,Introducing IntelliPress: The Smart Ai Assistant for WordPress,commercial investigation / product discovery,introducing intellipress: the smart ai assistant for wordpress,WordPress + AI = 😍; The Idea: aka “I wonder if” …; The next two weeks were a blur; What’s under the hood?,Generate content seamlessly in Gutenberg; Optimize SEO with Yoast; Analyze Your Content and Generate Categories; Generate featured images instantly with Pexels integration,What is Introducing IntelliPress: The Smart Ai Assistant for WordPress?; How does Introducing IntelliPress: The Smart Ai Assistant for WordPress work?; Who is Introducing IntelliPress: The Smart Ai Assistant for WordPress for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-maintenance-mode-for-wordpress/,Introducing Maintenance Mode for WordPress®,Introducing Maintenance Mode for WordPress®,commercial investigation / product discovery,introducing maintenance mode for wordpress®,"Why Maintenance Mode for WordPress® Stands Out; 1. Native WordPress® Experience; 2. No Bloat, Just Focus; 3. Total Control",How It Works; Customization for Developers; Maintenance Mode Example; Why I Built This Plugin,What is Introducing Maintenance Mode for WordPress®?; How does Introducing Maintenance Mode for WordPress® work?; Who is Introducing Maintenance Mode for WordPress® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-markdown-comments-for-wordpress/,Introducing: Markdown Comments for WordPress®,Introducing: Markdown Comments for WordPress®,commercial investigation / product discovery,introducing: markdown comments for wordpress®,Meet the Plugin; Why I Built It; How to Install; What’s Next,Related Reading,What is Introducing: Markdown Comments for WordPress®?; How does Introducing: Markdown Comments for WordPress® work?; Who is Introducing: Markdown Comments for WordPress® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-markdown-exporter-for-wordpress/,Introducing Markdown Exporter for WordPress®,Introducing Markdown Exporter for WordPress®,commercial investigation / product discovery,introducing markdown exporter for wordpress®,Why _Another_ Plugin?; Introducing Markdown Exporter for WordPress®; Key Features:; Seamless Integration with Stattic,Why Use Markdown with Stattic?; Getting Started; Installation; Usage,What is Introducing Markdown Exporter for WordPress®?; How does Introducing Markdown Exporter for WordPress® work?; Who is Introducing Markdown Exporter for WordPress® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-media-copyright-scanner/,Introducing Media Copyright Scanner,Introducing Media Copyright Scanner,commercial investigation / product discovery,introducing media copyright scanner,Comprehensive Scanning; User-Friendly Interface; Actionable Results; Customizable and Extensible,Why This Plugin Matters; Mitigate Legal Risks; Support Ethical Practices; Save Time and Resources,What is Introducing Media Copyright Scanner?; How does Introducing Media Copyright Scanner work?; Who is Introducing Media Copyright Scanner for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-media-file-versioning-for-wordpress/,Introducing Media File Versioning for WordPress®,Introducing Media File Versioning for WordPress®,commercial investigation / product discovery,introducing media file versioning for wordpress®,What is Media File Versioning?; Why I Built This Plugin; Key Features; 1. Version Control for Media Files,2. Admin-Friendly Meta Box; 3. Shortcode for Front-End Display; 4. Seamless Integration; How It Works,What is Introducing Media File Versioning for WordPress®?; How does Introducing Media File Versioning for WordPress® work?; Who is Introducing Media File Versioning for WordPress® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-metadata-import-export-for-yoast-seo/,Introducing Metadata Import/Export for Yoast SEO,Introducing Metadata Import/Export for Yoast SEO,commercial investigation / product discovery,introducing metadata import/export for yoast seo,The Inspiration Behind the Plugin; Key Features; Seamless Import and Export of Metadata; Custom Post Type Support,User Role Access Control; Progress Indicators and Detailed Statistics; Why This Plugin Matters for SEOs; Efficiency and Time Savings,What is Introducing Metadata Import/Export for Yoast SEO?; How does Introducing Metadata Import/Export for Yoast SEO work?; Who is Introducing Metadata Import/Export for Yoast SEO for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-module-usage-tracker-for-wp-bakery/,Introducing the Module Usage Tracker for WP Bakery,Introducing the Module Usage Tracker for WP Bakery,commercial investigation / product discovery,introducing the module usage tracker for wp bakery,Why Use Module Usage Tracker for WP Bakery?; Key Features; How It Works; Who Will Benefit from This Plugin?,Get Started Today; Related Reading,What is Introducing the Module Usage Tracker for WP Bakery?; How does Introducing the Module Usage Tracker for WP Bakery work?; Who is Introducing the Module Usage Tracker for WP Bakery for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-pattern-pal-ai-powered-patterns-for-wordpress/,Introducing Pattern Pal: AI-Powered Patterns for WordPress®,Introducing Pattern Pal: AI-Powered Patterns for WordPress®,commercial investigation / product discovery,introducing pattern pal: ai-powered patterns for wordpress®,What is Pattern Pal?; Why Use Pattern Pal?; Features; How to Use Pattern Pal,Step 1: Install the Plugin; Step 2: Generate a Block Pattern; Step 3: Customize and Publish; Who Is This For?,What is Introducing Pattern Pal: AI-Powered Patterns for WordPress®?; How does Introducing Pattern Pal: AI-Powered Patterns for WordPress® work?; Who is Introducing Pattern Pal: AI-Powered Patterns for WordPress® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-persistent-dismissible-notices/,Introducing Persistent Dismissible Notices,Introducing Persistent Dismissible Notices,commercial investigation / product discovery,introducing persistent dismissible notices,Why Persistent Dismissible Notices Matters; Key Features; Dismissal Persistence; Compatibility,Scalability and Performance; How to Use the Plugin; Installation; How It Works,What is Introducing Persistent Dismissible Notices?; How does Introducing Persistent Dismissible Notices work?; Who is Introducing Persistent Dismissible Notices for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-projects-for-wordpress-a-better-way-to-showcase-your-work/,Introducing Projects for WordPress®: A Better Way to Showcase Your Work,Introducing Projects for WordPress®: A Better Way to Showcase Your Work,commercial investigation / product discovery,introducing projects for wordpress®: a better way to showcase your work,What Is Projects for WordPress®?; What Developers Get Out of This; Independence; Download Tracking,GitHub-Powered Updates; Full Customization; REST API Ready; Why This Matters,What is Introducing Projects for WordPress®: A Better Way to Showcase Your Work?; How does Introducing Projects for WordPress®: A Better Way to Showcase Your Work work?; Who is Introducing Projects for WordPress®: A Better Way to Showcase Your Work for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-purchase-orders-for-woocommerce-free/,Introducing Purchase Orders for WooCommerce® (free),Introducing Purchase Orders for WooCommerce® (free),commercial investigation / product discovery,introducing purchase orders for woocommerce® (free),Key Features; How to Get Starte d; Why Use This Instead of WooCommerce’s Version?; What’s Next?,Final Thoughts; Related Reading,What is Introducing Purchase Orders for WooCommerce® (free)?; How does Introducing Purchase Orders for WooCommerce® (free) work?; Who is Introducing Purchase Orders for WooCommerce® (free) for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-seo-for-wordpress/,Introducing SEO for WordPress®,Introducing SEO for WordPress®,commercial investigation / product discovery,introducing seo for wordpress®,Why Another SEO Plugin?; What You Can Do with SEO for WordPress; General Settings; Advanced Settings,SEO Metabox; Archive Meta Fields; Getting Started; What’s Coming Next?,What is Introducing SEO for WordPress®?; How does Introducing SEO for WordPress® work?; Who is Introducing SEO for WordPress® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-shipping-multiple-addresses-for-woocommerce-free/,Introducing Shipping Multiple Addresses for WooCommerce® (free),Introducing Shipping Multiple Addresses for WooCommerce® (free),commercial investigation / product discovery,introducing shipping multiple addresses for woocommerce® (free),Why This Plugin Matters; Key Features; 1. Address Management; 2. Cart Duplication,3. Custom Delivery Options; 4. Automatic Order Splitting; 5. Email Notifications; 6. Admin-Friendly Tools,What is Introducing Shipping Multiple Addresses for WooCommerce® (free)?; How does Introducing Shipping Multiple Addresses for WooCommerce® (free) work?; Who is Introducing Shipping Multiple Addresses for WooCommerce® (free) for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-site-vitals-for-wordpress/,Introducing Site Vitals for WordPress®,Introducing Site Vitals for WordPress®,commercial investigation / product discovery,introducing site vitals for wordpress®,Why I Created Site Vitals for WordPress®; Key Features; Comprehensive Checks; Asynchronous Loading and Caching,Actionable Recommendations; Filters for Developers; Getting Started; Future Plans,What is Introducing Site Vitals for WordPress®?; How does Introducing Site Vitals for WordPress® work?; Who is Introducing Site Vitals for WordPress® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-slop-stopper-a-free-content-checker-for-wordpress/,Introducing Slop Stopper: A free content checker for WordPress®,Introducing Slop Stopper: A free content checker for WordPress®,commercial investigation / product discovery,introducing slop stopper: a free content checker for wordpress®,The AI Content Apocalypse is Here; Meet Slop Stopper: The AI Slop Bouncer for Your Blog; Why You Need This Plugin Yesterday; Download Slop Stopper Now,Related Reading,What is Introducing Slop Stopper: A free content checker for WordPress®?; How does Introducing Slop Stopper: A free content checker for WordPress® work?; Who is Introducing Slop Stopper: A free content checker for WordPress® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-stats-for-wordpress/,Introducing Stats for WordPress®,Introducing Stats for WordPress®,commercial investigation / product discovery,introducing stats for wordpress®,Why I Built Stats for WordPress®; What Stats for WordPress® Can Do; How to Get Started; Looking Ahead: Future Plans for Stats for WordPress®,Why Choose Stats for WordPress®?; Get Involved; Related Reading,What is Introducing Stats for WordPress®?; How does Introducing Stats for WordPress® work?; Who is Introducing Stats for WordPress® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-table-block-enhancer-for-wordpress/,Introducing Table Block Enhancer for WordPress®,Introducing Table Block Enhancer for WordPress®,informational / problem-solving,introducing table block enhancer for wordpress®,Why I Built Table Block Enhancer; Key Features; 🔍 Searching; 🔃 Sorting,📄 Paging; 🎛️ Per-Block Settings; How to Use Table Block Enhancer; 1. Installation,What is Introducing Table Block Enhancer for WordPress®?; How does Introducing Table Block Enhancer for WordPress® work?; Who is Introducing Table Block Enhancer for WordPress® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-test-orders-for-woocommerce/,Introducing Test Orders for WooCommerce®,Introducing Test Orders for WooCommerce®,commercial investigation / product discovery,introducing test orders for woocommerce®,Key Features; Why Use Test Orders for WooCommerce®?; How to Use; Behind the Scenes,Who Is This For?; Get Started Today; Feedback and Support; Related Reading,What is Introducing Test Orders for WooCommerce®?; How does Introducing Test Orders for WooCommerce® work?; Who is Introducing Test Orders for WooCommerce® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-the-phlush-permalinks-wordpress-plugin/,Introducing the Phlush Permalinks WordPress Plugin,Introducing the Phlush Permalinks WordPress Plugin,commercial investigation / product discovery,introducing the phlush permalinks wordpress plugin,Why Permalinks Matter:; Key Features of Phlush Permalinks:; How It Works; Getting Started,Looking to extend the plugin and add your own actions?; Example 1: Adding Custom Actions; Example 2: Removing Actions; Related Reading,What is Introducing the Phlush Permalinks WordPress Plugin?; How does Introducing the Phlush Permalinks WordPress Plugin work?; Who is Introducing the Phlush Permalinks WordPress Plugin for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-the-prompts-library-a-playground-for-ai-creativity/,Introducing the Prompts Library – A Playground for AI Creativity,Introducing the Prompts Library – A Playground for AI Creativity,commercial investigation / product discovery,introducing the prompts library – a playground for ai creativity,What’s Inside (So Far); Who’s It For?; Got an Idea? I’m Taking Requests.; Related Reading,,What is Introducing the Prompts Library – A Playground for AI Creativity?; How does Introducing the Prompts Library – A Playground for AI Creativity work?; Who is Introducing the Prompts Library – A Playground for AI Creativity for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-the-user-login-status-plugin-for-wordpress/,Introducing the User Login Status Plugin for WordPress,Introducing the User Login Status Plugin for WordPress,commercial investigation / product discovery,introducing the user login status plugin for wordpress,Key Features; 1. Monitor User Status Directly in the Admin Panel; 2. Bulk Logout Functionality; 3. Real-Time AJAX Polling,4. Optimized for Admins; Installation and Usage; 1. Download and Install the Plugin; 2. How to Monitor User Status,What is Introducing the User Login Status Plugin for WordPress?; How does Introducing the User Login Status Plugin for WordPress work?; Who is Introducing the User Login Status Plugin for WordPress for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-vertical-gallery-product-display-for-woocommerce/,Introducing Vertical Gallery Product Display for WooCommerce®,Introducing Vertical Gallery Product Display for WooCommerce®,commercial investigation / product discovery,introducing vertical gallery product display for woocommerce®,Why Build This Plugin?; How to Use Vertical Gallery Product Display; Behind the Scenes: Building a Plugin Like This; Why Free Matters,Get it on GitHub; Related Reading,What is Introducing Vertical Gallery Product Display for WooCommerce®?; How does Introducing Vertical Gallery Product Display for WooCommerce® work?; Who is Introducing Vertical Gallery Product Display for WooCommerce® for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/introducing-widget-usage-tracker-for-elementor/,Introducing Widget Usage Tracker for Elementor,Introducing Widget Usage Tracker for Elementor,commercial investigation / product discovery,introducing widget usage tracker for elementor,What is Widget Usage Tracker for Elementor?; Key Features; 1. Comprehensive Tracking; 2. Detailed Insights,3. User-Friendly Interface; 4. Automatic Updates; 5. Localization Ready; 6. Optimized Performance,What is Introducing Widget Usage Tracker for Elementor?; How does Introducing Widget Usage Tracker for Elementor work?; Who is Introducing Widget Usage Tracker for Elementor for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/invest-in-yourself/,Invest in Yourself,Invest in Yourself,informational,invest in yourself,Cash Investments; Business necessities; Business extras; Sweat Equity,Hard work pays off; Focus on the plan; One last piece of advice; Related Reading,What is Invest in Yourself?; How does Invest in Yourself work?; Who is Invest in Yourself for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/kevin-michael-geary-a-hidden-history-of-hate-racism-and-bigotry/,"Kevin Michael Geary: A Hidden History of Hate, Racism, and Bigotry","Kevin Michael Geary: A Hidden History of Hate, Racism, and Bigotry",informational,"kevin michael geary: a hidden history of hate, racism, and bigotry",Introduction: Who is Kevin Michael Geary?; Part 1: Kevin Geary’s Early Digital Footprint; Hispanic Hate Speech by Kevin Geary; Kevin Michael Geary Mocking People with Disabilities,Racist Commentary and Stereotyping by Kevin Geary; Misogynistic Attacks by Kevin Geary; Attacking Children and Families; Kevin Geary on Race and Music,"What is Kevin Michael Geary: A Hidden History of Hate, Racism, and Bigotry?; How does Kevin Michael Geary: A Hidden History of Hate, Racism, and Bigotry work?; Who is Kevin Michael Geary: A Hidden History of Hate, Racism, and Bigotry for?",,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/leafly-reviews-wordpress-plugin/,Leafly Reviews,Leafly Reviews,informational,leafly reviews,Leafly Reviews WordPress plugin; Download; Adding your APP ID and KEY; Widget Options,Shortcode Options; Credits & Thank-you's; Download; The road ahead,What is Leafly Reviews?; How does Leafly Reviews work?; Who is Leafly Reviews for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/leap-the-code-of-extreme-leadership/,LEAP: The Code of Extreme Leadership,LEAP: The Code of Extreme Leadership,informational,leap: the code of extreme leadership,What is LEAP?; Liberate; Execute; Agitate,Persist; Take the LEAP with me; Related Reading,What is LEAP: The Code of Extreme Leadership?; How does LEAP: The Code of Extreme Leadership work?; Who is LEAP: The Code of Extreme Leadership for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/making-up-for-lost-time/,Making up for lost time,Making up for lost time,informational,making up for lost time,Learning to let go; Forgiving your past; Moving forward; The road ahead,Related Reading,What is Making up for lost time?; How does Making up for lost time work?; Who is Making up for lost time for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/mnml-free-minimalist-wordpress-theme/,MNML,MNML,informational,mnml,Demo & Download; Under the hood; Credits & Thank-you's; The road ahead,Related Reading,What is MNML?; How does MNML work?; Who is MNML for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/my-brothers-keeper-sons-of-anarchy-fanfiction/,My Brothers Keeper,My Brothers Keeper,informational,my brothers keeper,Why Sons of Anarchy?; Chapters for Authors; My Brothers Keeper; What's next?,Related Reading,What is My Brothers Keeper?; How does My Brothers Keeper work?; Who is My Brothers Keeper for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/my-development-projects/,Recent project updates,Recent project updates,informational,recent project updates,WP Dispensary; Clean Blog; miniQuiz; Slackedd,Leafly Reviews; What development projects are next?; Keep in touch; Related Reading,What is Recent project updates?; How does Recent project updates work?; Who is Recent project updates for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/open-source-is-anarchism-in-action/,Open Source is Anarchism in Action,Open Source is Anarchism in Action,informational,open source is anarchism in action,And it’s working.; Shared Foundations; 1. Voluntary Cooperation; 2. Decentralized Power,3. Transparent Accountability; 4. Ownership Without Control; Open Source Was Always Political; Why the Open Source Model Embodies Anarchist Practice,What is Open Source is Anarchism in Action?; How does Open Source is Anarchism in Action work?; Who is Open Source is Anarchism in Action for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/organized-chaos/,Organized Chaos,Organized Chaos,informational,organized chaos,Related Reading,,What is Organized Chaos?; How does Organized Chaos work?; Who is Organized Chaos for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/page/10/,"Systems, tools, and writing for work that has to hold up.","Systems, tools, and writing for work that has to hold up.",navigational / topic discovery,"systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows; Tools with a visible operating record.; Strata; Snips",RepoRadar; How I build.; Make state visible; Keep work inspectable,"What is Systems, tools, and writing for work that has to hold up.?; How does Systems, tools, and writing for work that has to hold up. work?; Who is Systems, tools, and writing for work that has to hold up. for?",,,retain; monitor search and citation performance
baseline,https://robertdevore.com/page/11/,"Systems, tools, and writing for work that has to hold up.","Systems, tools, and writing for work that has to hold up.",navigational / topic discovery,"systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows; Tools with a visible operating record.; Strata; Snips",RepoRadar; How I build.; Make state visible; Keep work inspectable,"What is Systems, tools, and writing for work that has to hold up.?; How does Systems, tools, and writing for work that has to hold up. work?; Who is Systems, tools, and writing for work that has to hold up. for?",,,retain; monitor search and citation performance
baseline,https://robertdevore.com/page/12/,"Systems, tools, and writing for work that has to hold up.","Systems, tools, and writing for work that has to hold up.",navigational / topic discovery,"systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows; Tools with a visible operating record.; Strata; Snips",RepoRadar; How I build.; Make state visible; Keep work inspectable,"What is Systems, tools, and writing for work that has to hold up.?; How does Systems, tools, and writing for work that has to hold up. work?; Who is Systems, tools, and writing for work that has to hold up. for?",,,retain; monitor search and citation performance
baseline,https://robertdevore.com/page/2/,"Systems, tools, and writing for work that has to hold up.","Systems, tools, and writing for work that has to hold up.",navigational / topic discovery,"systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows; Tools with a visible operating record.; Strata; Snips",RepoRadar; How I build.; Make state visible; Keep work inspectable,"What is Systems, tools, and writing for work that has to hold up.?; How does Systems, tools, and writing for work that has to hold up. work?; Who is Systems, tools, and writing for work that has to hold up. for?",,,retain; monitor search and citation performance
baseline,https://robertdevore.com/page/3/,"Systems, tools, and writing for work that has to hold up.","Systems, tools, and writing for work that has to hold up.",navigational / topic discovery,"systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows; Tools with a visible operating record.; Strata; Snips",RepoRadar; How I build.; Make state visible; Keep work inspectable,"What is Systems, tools, and writing for work that has to hold up.?; How does Systems, tools, and writing for work that has to hold up. work?; Who is Systems, tools, and writing for work that has to hold up. for?",,,retain; monitor search and citation performance
baseline,https://robertdevore.com/page/4/,"Systems, tools, and writing for work that has to hold up.","Systems, tools, and writing for work that has to hold up.",navigational / topic discovery,"systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows; Tools with a visible operating record.; Strata; Snips",RepoRadar; How I build.; Make state visible; Keep work inspectable,"What is Systems, tools, and writing for work that has to hold up.?; How does Systems, tools, and writing for work that has to hold up. work?; Who is Systems, tools, and writing for work that has to hold up. for?",,,retain; monitor search and citation performance
baseline,https://robertdevore.com/page/5/,"Systems, tools, and writing for work that has to hold up.","Systems, tools, and writing for work that has to hold up.",navigational / topic discovery,"systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows; Tools with a visible operating record.; Strata; Snips",RepoRadar; How I build.; Make state visible; Keep work inspectable,"What is Systems, tools, and writing for work that has to hold up.?; How does Systems, tools, and writing for work that has to hold up. work?; Who is Systems, tools, and writing for work that has to hold up. for?",,,retain; monitor search and citation performance
baseline,https://robertdevore.com/page/6/,"Systems, tools, and writing for work that has to hold up.","Systems, tools, and writing for work that has to hold up.",navigational / topic discovery,"systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows; Tools with a visible operating record.; Strata; Snips",RepoRadar; How I build.; Make state visible; Keep work inspectable,"What is Systems, tools, and writing for work that has to hold up.?; How does Systems, tools, and writing for work that has to hold up. work?; Who is Systems, tools, and writing for work that has to hold up. for?",,,retain; monitor search and citation performance
baseline,https://robertdevore.com/page/7/,"Systems, tools, and writing for work that has to hold up.","Systems, tools, and writing for work that has to hold up.",navigational / topic discovery,"systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows; Tools with a visible operating record.; Strata; Snips",RepoRadar; How I build.; Make state visible; Keep work inspectable,"What is Systems, tools, and writing for work that has to hold up.?; How does Systems, tools, and writing for work that has to hold up. work?; Who is Systems, tools, and writing for work that has to hold up. for?",,,retain; monitor search and citation performance
baseline,https://robertdevore.com/page/8/,"Systems, tools, and writing for work that has to hold up.","Systems, tools, and writing for work that has to hold up.",navigational / topic discovery,"systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows; Tools with a visible operating record.; Strata; Snips",RepoRadar; How I build.; Make state visible; Keep work inspectable,"What is Systems, tools, and writing for work that has to hold up.?; How does Systems, tools, and writing for work that has to hold up. work?; Who is Systems, tools, and writing for work that has to hold up. for?",,,retain; monitor search and citation performance
